ID,Target,Age,RFM,LifetimeDonation,Degrees,YearsSinceGrad,Male,Alum,InclinationScore,EventsAttended
591,0,24,0,0,1,2,0,1,2,2
592,0,22,0,0,1,2,0,1,2,2
593,0,29,0,0,2,2,1,1,2,2
594,0,29,0,0,2,2,1,1,2,2
595,0,31,0,0,2,2,0,1,2,2
596,0,24,0,0,1,2,0,1,2,2
597,0,23,0,0,1,3,0,1,1,2
598,0,25,0,0,2,3,0,1,1,2
599,0,29,0,0,2,3,1,1,1,2
600,0,22,0,0,1,3,0,1,1,2
601,0,25,0,0,1,2,1,1,1,2
602,0,39,0,0,1,2,0,1,1,2
603,0,27,0,0,1,2,0,1,1,2
604,0,23,0,0,1,2,0,1,1,2
605,0,25,0,0,1,2,0,1,1,2
606,0,24,0,0,1,2,1,1,1,2
607,0,23,0,0,1,2,0,1,1,2
608,1,28,0,0,2,3,1,1,4,1
609,1,49,2,25,2,3,0,1,4,1
610,0,26,0,0,1,3,1,1,4,1
611,0,26,0,0,2,3,1,1,4,1
612,0,31,0,0,3,3,1,1,4,1
613,0,26,0,602.5,1,3,1,1,4,1
614,0,36,0,730,2,3,0,1,4,1
615,0,23,7,5,1,3,1,1,4,1
616,0,31,0,0,1,3,1,1,4,1
617,0,22,9,2000,1,3,0,1,4,1
